
MC properties:
   MC Sweeps:       70000
   Mesh disp:       1.500000
   Bias type:       Minimum
   Bias strength:   20.000000
   Bias location:   29.304348
   InitialHeight:   29.304348
   RandSeed:        2
   Boundary Cond:   Frame

Mesh Properties:
   Bending Modulus: 20.000000
   Lx:              840.000000
   Ly:              840.000000
   Node nums in x:  70
   Node nums in y:  70

Particle Properties:
   Ptype num:       3
   Lengths:         3.5 17.5 20.0 7.5 17.5 30.0
   Binding str:     10.5 0.0 4.75
   Binding ranges:  4.0 0.0 4.0
   Densities:       200.0 4000.0 500.0 200.0 7520.0 480.0
   PDiam:           4.000000

Output Options:
   Tag:             Z_29.304347826086957
   OutputDir:       ../Simulation_Results/
   Framenums:       0
   Datanums:        50000
   Histbnums:       0

Restart Info:
   Inputfilename:   None
   Equil option:    No

Error Check:        Naw

#Sweep(1) TAcc(2) NAcc(3) SHAcc(4) TotE(5) MeshE(6) BiasE(7) Veff(8) ZBot(9) ZTop(10) TotAreaBot(11) TotAreaTop(12) TotPop(13) TotPopBot(14) TotPopTop(15) ThetaValTop(16) ThetaValBot(17) NBot1(18) NBot2(19) NBot3(20) NTop1(21) NTop2(22) NTop3(23) Bonds1(24) Bonds2(25) Bonds3(26) 
0 1.00 1.00 0.00 727.263825 0.581352 0.000000 726.682472 -14.652174 14.652306 705600.000000 705600.209249 1027.639613 374.869331 652.770282 29.304348 0.000066 18.046990 317.175414 39.646927 18.186664 634.583618 0.000000 0.000000 0.000000 0.000000 
1 0.51 0.51 0.50 1782.337317 1093.073205 20.274541 668.989571 -14.652174 14.966364 705600.000000 706161.548871 1022.803280 370.595458 652.207822 28.298121 0.157095 17.841237 313.559308 39.194913 17.979318 627.348751 6.879753 0.000000 0.000000 0.000000 
2 0.53 0.53 0.50 2163.337807 1492.517349 28.961443 641.859015 -14.652174 15.002666 705600.000000 706521.807803 1020.528955 368.585635 651.943320 28.101627 0.175246 17.744480 311.858804 38.982351 17.881812 623.946496 10.115013 0.000000 0.000000 0.000000 
3 0.54 0.54 0.60 2273.296470 1675.907661 16.783985 580.604824 -14.996538 15.032646 705600.000000 706730.178478 1015.394082 364.047942 651.346140 28.388279 0.018054 17.526026 308.019481 38.502435 17.661667 616.265031 17.419442 0.000000 0.000000 0.000000 
4 0.54 0.54 0.43 2445.143370 1849.979429 23.947973 571.215968 -14.996538 15.054014 705600.000000 706909.209343 1014.607025 363.352418 651.254606 28.210110 0.028738 17.492542 307.431001 38.428875 17.627924 615.087640 18.539042 0.000000 0.000000 0.000000 
5 0.54 0.54 0.40 2435.497246 1898.524764 22.737157 514.235325 -14.996538 15.310964 705600.000000 707042.694882 1009.830399 359.131309 650.699090 28.238692 0.157213 17.289329 303.859538 37.982442 17.423139 607.942092 25.333860 0.000000 0.000000 0.000000 
6 0.54 0.54 0.45 2440.452311 1924.610820 17.988771 497.852721 -15.133074 15.322740 705600.000000 707156.823458 1008.457143 357.917772 650.539371 28.356198 0.094833 17.230983 302.832701 37.854088 17.364260 605.887665 27.287445 0.000000 0.000000 0.000000 
7 0.54 0.54 0.50 2443.696240 1966.729939 8.704888 468.261413 -15.133074 15.632768 705600.000000 707262.225074 1005.976562 355.725684 650.250878 28.646987 0.249847 17.125477 300.977962 37.622245 17.257911 602.176825 30.816142 0.000000 0.000000 0.000000 
8 0.54 0.54 0.50 2441.859693 1976.102352 8.441257 457.316084 -15.280104 15.644250 705600.000000 707317.429063 1005.059319 354.915157 650.144162 28.655961 0.182073 17.086736 300.291930 37.536491 17.218574 600.804257 32.121331 0.000000 0.000000 0.000000 
9 0.55 0.55 0.47 2506.152779 2040.043801 10.414341 455.694637 -15.280104 15.669717 705600.000000 707363.903045 1004.923713 354.795368 650.128346 28.584057 0.194807 17.081274 300.190305 37.523788 17.212747 600.600934 32.314665 0.000000 0.000000 0.000000 
10 0.55 0.55 0.47 2494.710055 2028.301217 10.652353 455.756486 -15.280104 15.682869 705600.000000 707425.036625 1004.929243 354.800303 650.128940 28.575932 0.201383 17.081842 300.194188 37.524273 17.212969 600.608701 32.307269 0.000000 0.000000 0.000000 
